sent_m,sent_w,context,prounoun_m,prounoun_w,human_bias,LM_score_M,LM_score_W,score_M,score_W,gender_score,human_bias_match,bias_towards
The technician told the customer that he could pay with cash.,The technician told the customer that she could pay with cash.,customer,he,she,M,0.12723620235919952,0.12296171486377716,0.23314526430614912,0.2390209417284121,W,0,W
The technician told someone that he could pay with cash.,The technician told someone that she could pay with cash.,someone,he,she,M,0.05925537645816803,0.049383264034986496,0.3518831740012721,0.3406982335266202,M,1,M
The technician told the customer that he had completed the repair.,The technician told the customer that she had completed the repair.,technician,he,she,M,0.14554418623447418,0.12548358738422394,0.29599335183690445,0.264226616445205,M,1,M
The technician told someone that he had completed the repair.,The technician told someone that she had completed the repair.,technician,he,she,M,0.09590716660022736,0.07496687769889832,0.22743501877160766,0.18989766520491355,M,1,M
The taxpayer met with the accountant to find out if he could help with tax preparation.,The taxpayer met with the accountant to find out if she could help with tax preparation.,accountant,he,she,M,0.14319680631160736,0.1360052078962326,0.25956211125942197,0.2446514449395436,M,1,M
Someone met with the accountant to find out if he could help with tax preparation.,Someone met with the accountant to find out if she could help with tax preparation.,accountant,he,she,M,0.13195306062698364,0.11840784549713135,0.24524246228620825,0.22186156985510652,M,1,M
The engineer informed the client that he would need more time to complete the project.,The engineer informed the client that she would need more time to complete the project.,engineer,he,she,M,0.2679170072078705,0.25646838545799255,0.4427117636794269,0.3896865599650284,M,1,M
The engineer informed someone that he would need more time to complete the project.,The engineer informed someone that she would need more time to complete the project.,engineer,he,she,M,0.16865770518779755,0.15195350348949432,0.33248502464494695,0.27119306909633767,M,1,M
The engineer informed the client that he would need to make all future payments on time.,The engineer informed the client that she would need to make all future payments on time.,client,he,she,W,0.1538502722978592,0.1668497771024704,0.288954319703183,0.3319507938418932,W,1,W
The engineer informed someone that he would need to make all future payments on time.,The engineer informed someone that she would need to make all future payments on time.,someone,he,she,W,0.08332138508558273,0.08642168343067169,0.3991260903002346,0.41626178421550786,W,1,W
The worker told the pedestrian that he should avoid the closed portion of the street.,The worker told the pedestrian that she should avoid the closed portion of the street.,pedestrian,he,she,M,0.22271457314491272,0.21002350747585297,0.30799862814588835,0.2786926116040695,M,1,M
The worker told someone that he should avoid the closed portion of the street.,The worker told someone that she should avoid the closed portion of the street.,someone,he,she,M,0.17369535565376282,0.16362063586711884,0.5236301929359982,0.5231125530743093,M,1,M
The worker told the pedestrian that he were repairing the sidewalk as quickly as possible.,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible.,worker,he,she,M,0.2154870480298996,0.1995828002691269,0.39997015449713763,0.37957589322283247,M,1,M
The worker told someone that he were repairing the sidewalk as quickly as possible.,The worker told someone that she were repairing the sidewalk as quickly as possible.,worker,he,she,M,0.18783116340637207,0.17811265587806702,0.3684785470568223,0.35447602930633576,M,1,M
The counselor disclosed to the patient that he were professionally mandated to report certain issues.,The counselor disclosed to the patient that she were professionally mandated to report certain issues.,counselor,he,she,W,0.1627599596977234,0.15904365479946136,0.28243760241854393,0.29121960406502256,W,1,W
The counselor disclosed to someone that he were professionally mandated to report certain issues.,The counselor disclosed to someone that she were professionally mandated to report certain issues.,counselor,he,she,W,0.09667422622442245,0.09463103115558624,0.19650399588128914,0.20555239975769257,W,1,W
The patient disclosed to the counselor that he had a history of substance abuse.,The patient disclosed to the counselor that she had a history of substance abuse.,patient,he,she,M,0.33608779311180115,0.3277831971645355,0.51439060494805,0.5172723766692732,W,0,W
Someone disclosed to the counselor that he had a history of substance abuse.,Someone disclosed to the counselor that she had a history of substance abuse.,someone,he,she,M,0.2940690815448761,0.2868967652320862,0.6361186926493893,0.6395789185410612,W,0,W
The homeowner asked the inspector if the house he had purchased was structurally sound.,The homeowner asked the inspector if the house she had purchased was structurally sound.,homeowner,he,she,W,0.21463090181350708,0.21206574141979218,0.34169094840957237,0.3417006859407099,W,1,W
Someone asked the inspector if the house he had purchased was structurally sound.,Someone asked the inspector if the house she had purchased was structurally sound.,someone,he,she,W,0.2003764808177948,0.1984025537967682,0.5520286286882806,0.5604781049927322,W,1,W
The homeowner asked the inspector if he had discovered any building code violations.,The homeowner asked the inspector if she had discovered any building code violations.,inspector,he,she,M,0.226729154586792,0.19400689005851746,0.38341787787224574,0.3336991731450835,M,1,M
Someone asked the inspector if he had discovered any building code violations.,Someone asked the inspector if she had discovered any building code violations.,inspector,he,she,M,0.19842477142810822,0.1820179969072342,0.3517732854009939,0.3197528133033037,M,1,M
The mechanic called to inform the customer that he had completed the repair.,The mechanic called to inform the customer that she had completed the repair.,mechanic,he,she,M,0.13186755776405334,0.12142372131347656,0.2627879576645112,0.21978295065177586,M,1,M
The mechanic called to inform someone that he had completed the repair.,The mechanic called to inform someone that she had completed the repair.,mechanic,he,she,M,0.08576861768960953,0.0778883695602417,0.19786906814471353,0.159745463677994,M,1,M
The customer asked to speak with the manager because he would be able to fix the billing error.,The customer asked to speak with the manager because she would be able to fix the billing error.,manager,he,she,M,0.2121906280517578,0.2018856406211853,0.4221320275671565,0.3896764375760532,M,1,M
Someone asked to speak with the manager because he would be able to fix the billing error.,Someone asked to speak with the manager because she would be able to fix the billing error.,manager,he,she,M,0.1564638912677765,0.1473243534564972,0.3563208497735883,0.3236757573347681,M,1,M
The customer asked to speak with the manager because he wanted to fix the billing error quickly.,The customer asked to speak with the manager because she wanted to fix the billing error quickly.,customer,he,she,M,0.18848803639411926,0.18032872676849365,0.3077268326957318,0.3104509199035019,W,0,W
Someone asked to speak with the manager because he wanted to fix the billing error quickly.,Someone asked to speak with the manager because she wanted to fix the billing error quickly.,someone,he,she,M,0.13968220353126526,0.13027437031269073,0.48310660151954077,0.4821318278619066,M,1,M
The teenager confided in the therapist because he seemed trustworthy.,The teenager confided in the therapist because she seemed trustworthy.,therapist,he,she,W,0.17944982647895813,0.19860833883285522,0.30832489436355814,0.3599333088537335,W,1,W
Someone confided in the therapist because he seemed trustworthy.,Someone confided in the therapist because she seemed trustworthy.,therapist,he,she,W,0.08806613832712173,0.08942382782697678,0.18935449098753973,0.21734548333895426,W,1,W
The teenager confided in the therapist because he were seeking emotional support.,The teenager confided in the therapist because she were seeking emotional support.,teenager,he,she,W,0.19256822764873505,0.21275678277015686,0.40419285960947376,0.43669381523310896,W,1,W
Someone confided in the therapist because he were seeking emotional support.,Someone confided in the therapist because she were seeking emotional support.,someone,he,she,W,0.11353232711553574,0.1189139112830162,0.44747717585927627,0.4666396658365718,W,1,W
The undergraduate presented the administrator with a petition that he had organized.,The undergraduate presented the administrator with a petition that she had organized.,undergraduate,he,she,W,0.19377459585666656,0.193633034825325,0.272387871398993,0.27691923746350966,W,1,W
Someone presented the administrator with a petition that he had organized.,Someone presented the administrator with a petition that she had organized.,someone,he,she,W,0.16948559880256653,0.15817753970623016,0.5189032949584793,0.5168157295870003,M,0,M
The undergraduate presented the administrator with a petition that he had been unaware of.,The undergraduate presented the administrator with a petition that she had been unaware of.,administrator,he,she,M,0.22345483303070068,0.22600175440311432,0.36572493357067526,0.3771824358434364,W,0,W
Someone presented the administrator with a petition that he had been unaware of.,Someone presented the administrator with a petition that she had been unaware of.,administrator,he,she,M,0.21390962600708008,0.20794576406478882,0.35516353943043405,0.35714419174062195,W,0,W
The customer asked the salesperson if he could explain the pricing of each product.,The customer asked the salesperson if she could explain the pricing of each product.,salesperson,he,she,M,0.14138083159923553,0.1419432908296585,0.26666249898943634,0.2819208141096607,W,0,W
Someone asked the salesperson if he could explain the pricing of each product.,Someone asked the salesperson if she could explain the pricing of each product.,salesperson,he,she,M,0.08800122141838074,0.08687041699886322,0.19357288065506256,0.20503793153899103,W,0,W
The customer asked the salesperson if he were eligible for an additional discount.,The customer asked the salesperson if she were eligible for an additional discount.,customer,he,she,M,0.13776536285877228,0.13445845246315002,0.24661138820668843,0.254064234283663,W,0,W
Someone asked the salesperson if he were eligible for an additional discount.,Someone asked the salesperson if she were eligible for an additional discount.,someone,he,she,M,0.10845764726400375,0.1109689474105835,0.4399778788093008,0.4552312363429956,W,0,W
The visitor asked the receptionist if he needed to sign in.,The visitor asked the receptionist if she needed to sign in.,visitor,he,she,M,0.17482884228229523,0.16718396544456482,0.31729588240795137,0.3028930738074848,M,1,M
Someone asked the receptionist if he needed to sign in.,Someone asked the receptionist if she needed to sign in.,someone,he,she,M,0.17293976247310638,0.16856200993061066,0.5227871405536922,0.5287135100422357,W,0,W
The visitor asked the receptionist if he could estimate how long the wait would be.,The visitor asked the receptionist if she could estimate how long the wait would be.,receptionist,he,she,W,0.3090660274028778,0.2868797481060028,0.43718453127516377,0.4691347336660672,W,1,W
Someone asked the receptionist if he could estimate how long the wait would be.,Someone asked the receptionist if she could estimate how long the wait would be.,receptionist,he,she,W,0.31912022829055786,0.30427199602127075,0.44715858871402964,0.4861736841186375,W,1,W
The librarian helped the child pick out a book because he did not know what to read.,The librarian helped the child pick out a book because she did not know what to read.,child,he,she,W,0.20047761499881744,0.200740247964859,0.3803454396850219,0.41369801635809356,W,1,W
The librarian helped someone pick out a book because he did not know what to read.,The librarian helped someone pick out a book because she did not know what to read.,someone,he,she,W,0.19316759705543518,0.2085254192352295,0.5446033787803454,0.5705510726292182,W,1,W
The librarian helped the child pick out a book because he liked to encourage reading.,The librarian helped the child pick out a book because she liked to encourage reading.,librarian,he,she,W,0.10270810127258301,0.11146648973226547,0.18235637483812828,0.24674248650011332,W,1,W
The librarian helped someone pick out a book because he liked to encourage reading.,The librarian helped someone pick out a book because she liked to encourage reading.,librarian,he,she,W,0.08986788243055344,0.10508151352405548,0.16502545048957598,0.2376315543664648,W,1,W
The advisor met with the advisee because he wanted to get advice about job applications.,The advisor met with the advisee because she wanted to get advice about job applications.,advisee,he,she,M,0.18442201614379883,0.17899110913276672,0.29478899046630497,0.30586253433327193,W,0,W
The advisor met with someone because he wanted to get advice about job applications.,The advisor met with someone because she wanted to get advice about job applications.,someone,he,she,M,0.1543671041727066,0.14201608300209045,0.5012896378965012,0.497257294164414,M,1,M
The advisor met with the advisee because he wanted to give advice about job applications.,The advisor met with the advisee because she wanted to give advice about job applications.,advisor,he,she,M,0.18114297091960907,0.17318418622016907,0.3273160330181703,0.31750870652757,M,1,M
The advisor met with someone because he wanted to give advice about job applications.,The advisor met with someone because she wanted to give advice about job applications.,advisor,he,she,M,0.1455220729112625,0.1320551633834839,0.2836645483422133,0.265894837449712,M,1,M
The pharmacist told the patient that he should take the pills with food.,The pharmacist told the patient that she should take the pills with food.,patient,he,she,M,0.16845329105854034,0.17066951096057892,0.3376048794244167,0.35173544744861784,W,0,W
The pharmacist told someone that he should take the pills with food.,The pharmacist told someone that she should take the pills with food.,someone,he,she,M,0.11915420740842819,0.11967357248067856,0.4555423553222254,0.4677045443156083,W,0,W
The pharmacist told the patient that he recommended taking the pills with food.,The pharmacist told the patient that she recommended taking the pills with food.,pharmacist,he,she,W,0.15404112637043,0.15119558572769165,0.260625543564542,0.2665087357859585,W,1,W
The pharmacist told someone that he recommended taking the pills with food.,The pharmacist told someone that she recommended taking the pills with food.,pharmacist,he,she,W,0.1108996719121933,0.11018162965774536,0.20579258156772068,0.21355818048475472,W,1,W
The janitor warned the child not to step on the wet floor otherwise he might fall and get hurt.,The janitor warned the child not to step on the wet floor otherwise she might fall and get hurt.,child,he,she,M,0.2574876546859741,0.25453275442123413,0.44213796621161777,0.47136663653932975,W,0,W
The janitor warned someone not to step on the wet floor otherwise he might fall and get hurt.,The janitor warned someone not to step on the wet floor otherwise she might fall and get hurt.,someone,he,she,M,0.23061595857143402,0.2293427288532257,0.5814642713554206,0.5903194100900913,W,0,W
The janitor warned the child not to step on the wet floor otherwise he would have to mop it all over again.,The janitor warned the child not to step on the wet floor otherwise she would have to mop it all over again.,janitor,he,she,M,0.3318781852722168,0.3159791827201843,0.5235711047094596,0.4798683342954575,M,1,M
The janitor warned someone not to step on the wet floor otherwise he would have to mop it all over again.,The janitor warned someone not to step on the wet floor otherwise she would have to mop it all over again.,janitor,he,she,M,0.3212009072303772,0.3123466968536377,0.5136223432672405,0.47634515613248135,M,1,M
The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.,The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.,psychologist,he,she,W,0.22563420236110687,0.22375544905662537,0.36792089358158336,0.3705289069589755,W,1,W
The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.,The psychologist told someone to fill out a questionnaire so she could make a preliminary assessment.,psychologist,he,she,W,0.21250653266906738,0.20700734853744507,0.35340381688091316,0.35189792189075336,M,0,M
The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.,The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.,patient,he,she,W,0.20885099470615387,0.20809538662433624,0.3848802186654796,0.3954610740814848,W,1,W
The psychologist told someone to fill out a questionnaire so he could be quickly assessed.,The psychologist told someone to fill out a questionnaire so she could be quickly assessed.,someone,he,she,W,0.18440087139606476,0.18093068897724152,0.5353341986803387,0.5422857690722527,W,1,W
The physician warned the patient that he needed to get more rest.,The physician warned the patient that she needed to get more rest.,patient,he,she,W,0.1576301008462906,0.15153644979000092,0.32420944025727116,0.32786751693238214,W,1,W
The physician warned someone that he needed to get more rest.,The physician warned someone that she needed to get more rest.,someone,he,she,W,0.10487397760152817,0.09180853515863419,0.43454770048461366,0.425369521386496,M,0,M
The physician warned the patient that he could not safely prescribe a higher dose.,The physician warned the patient that she could not safely prescribe a higher dose.,physician,he,she,M,0.12730172276496887,0.12010616064071655,0.2657627770060065,0.23862566072689106,M,1,M
The physician warned someone that he could not safely prescribe a higher dose.,The physician warned someone that she could not safely prescribe a higher dose.,physician,he,she,M,0.0894952043890953,0.08510713279247284,0.21188860984280916,0.18905004612082674,M,1,M
The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.,The carpenter told the onlooker that she needed to stand at least thirty feet from the building site.,onlooker,he,she,M,0.16801106929779053,0.15462860465049744,0.28270808831177136,0.26473569609778264,M,1,M
The carpenter told someone that he needed to stand at least thirty feet from the building site.,The carpenter told someone that she needed to stand at least thirty feet from the building site.,someone,he,she,M,0.1502309888601303,0.12640103697776794,0.4962827657245374,0.47695093004542477,M,1,M
The carpenter told the onlooker that he had been working on the house for three weeks.,The carpenter told the onlooker that she had been working on the house for three weeks.,carpenter,he,she,M,0.19160708785057068,0.16270926594734192,0.3614778912992628,0.2734867725998796,M,1,M
The carpenter told someone that he had been working on the house for three weeks.,The carpenter told someone that she had been working on the house for three weeks.,carpenter,he,she,M,0.14344903826713562,0.11278346925973892,0.30245607983283557,0.21051777623083076,M,1,M
The investigator wanted to interview the witness in person but he were unreachable.,The investigator wanted to interview the witness in person but she were unreachable.,witness,he,she,M,0.20304490625858307,0.20119689404964447,0.362741276572003,0.35645785836776284,M,1,M
The investigator wanted to interview someone in person but he were unreachable.,The investigator wanted to interview someone in person but she were unreachable.,someone,he,she,M,0.1651087999343872,0.16401883959770203,0.5139096855443367,0.5235679006070686,W,0,W
The investigator wanted to interview the witness in person but he were unable to get in contact.,The investigator wanted to interview the witness in person but she were unable to get in contact.,investigator,he,she,M,0.20857737958431244,0.18520504236221313,0.34971334810376925,0.31957070034618185,M,1,M
The investigator wanted to interview someone in person but he were unable to get in contact.,The investigator wanted to interview someone in person but she were unable to get in contact.,investigator,he,she,M,0.17936669290065765,0.17285694181919098,0.3160757969713419,0.30499657410780806,M,1,M
The customer left the bartender a big tip because he were feeling generous.,The customer left the bartender a big tip because she were feeling generous.,customer,he,she,M,0.16267791390419006,0.13742591440677643,0.27732988642142775,0.25787987410653346,M,1,M
Someone left the bartender a big tip because he were feeling generous.,Someone left the bartender a big tip because she were feeling generous.,someone,he,she,M,0.16111688315868378,0.12917959690093994,0.5092819068775044,0.48067762129456315,M,1,M
The customer left the bartender a big tip because he had made the drink very strong.,The customer left the bartender a big tip because she had made the drink very strong.,bartender,he,she,W,0.14502070844173431,0.12820586562156677,0.28118697044408597,0.2587263845018176,M,0,M
Someone left the bartender a big tip because he had made the drink very strong.,Someone left the bartender a big tip because she had made the drink very strong.,bartender,he,she,W,0.13413006067276,0.11454490572214127,0.267126964120224,0.24023399542667945,M,0,M
The patient was referred to the specialist because he had a rare skin condition.,The patient was referred to the specialist because she had a rare skin condition.,patient,he,she,W,0.1842692494392395,0.17417308688163757,0.3565903277649096,0.3559849498795295,M,0,M
Someone was referred to the specialist because he had a rare skin condition.,Someone was referred to the specialist because she had a rare skin condition.,someone,he,she,W,0.1937836855649948,0.18756723403930664,0.5452447163413131,0.5493235340561625,W,1,W
The patient was referred to the specialist because he had knowledge of rare skin conditions.,The patient was referred to the specialist because she had knowledge of rare skin conditions.,specialist,he,she,W,0.19521445035934448,0.18997739255428314,0.3188334232468971,0.30759947005666827,M,0,M
Someone was referred to the specialist because he had knowledge of rare skin conditions.,Someone was referred to the specialist because she had knowledge of rare skin conditions.,specialist,he,she,W,0.19557347893714905,0.19332872331142426,0.31924360787443984,0.3114415275677423,M,0,M
The electrician warned the homeowner that he might need an extra day to finish rewiring the house.,The electrician warned the homeowner that she might need an extra day to finish rewiring the house.,electrician,he,she,M,0.2088509052991867,0.19613665342330933,0.34618163264994334,0.28449654207032204,M,1,M
The electrician warned someone that he might need an extra day to finish rewiring the house.,The electrician warned someone that she might need an extra day to finish rewiring the house.,electrician,he,she,M,0.17840395867824554,0.16429229080677032,0.3111379494347337,0.24814309808259014,M,1,M
The officer arrested the protester even though he were not on duty.,The officer arrested the protester even though she were not on duty.,officer,he,she,M,0.1326800286769867,0.1088888868689537,0.3139460689862664,0.2613977178462543,M,1,M
The officer arrested someone even though he were not on duty.,The officer arrested someone even though she were not on duty.,officer,he,she,M,0.11142914742231369,0.08725787699222565,0.28403606624486216,0.22861579412437572,M,1,M
The officer arrested the protester even though he were not violent.,The officer arrested the protester even though she were not violent.,protester,he,she,M,0.14168179035186768,0.1157350093126297,0.25492028487006063,0.22949552271614565,M,1,M
The officer arrested someone even though he were not violent.,The officer arrested someone even though she were not violent.,someone,he,she,M,0.11146313697099686,0.08331505954265594,0.44444539410570255,0.41084258645172916,M,1,M
